date;employee_title;employee_status;review_title;pros;cons
2021-02-07;Advisor;Former Employee, more than 5 years;Discriminatory against women and people of color;"Benefits and flexibility were the best really
";"Biased management, gender, and ethnic-based discrimination. Opportunities are not afforded to non-US employees regardless of great performance. Chevron Way only counts when it is convinient.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-22;Human Resources;Former Employee;Great company;"Great place to work and fantastic benefits
";"Constant reorganization efforts for past 5 years
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-23;Senior Software Engineer;Former Employee, more than 8 years;Great company;"Pay . Benefits. Pay. Benefits. Pay. Benefits.
";"None. None. None. None. None.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-06;Operations Lead;Current Employee;Not what is used to be...;"9/80 work schedule Compensation is beyond fair
";"Process within processes - Slow growth (before 2020) Some new internal organizations lack any direction and most of the work falls on to a few people. Very Stressful
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-22;Sales Manager;Current Employee;Chevron;"They care about their people
";"large company works slower sometimes.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-04;Petroleum Engineering Advisor;Former Employee;Chevron;"Competitive Salary Global Company Employee Benefits Culture Safety Program
";"Cyclic Industry Declining Oil Demand Fossil Fuels
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-24;Customer Service Associate;Former Employee;this place is horrible;"not really any pros working at chevron
";"upper managment only cares about their managers not employees
2 people found this review helpful
Helpful
Share
Repor"
2021-01-20;Sales Manager Commercial Fuels;Former Employee, more than 10 years;Chevron Employment Experience;"Competitive Salary, great people/friendly culture, strong safety culture, awesome benefits, ability to travel.
";"Focus on promoting women can lead to fewer promotion opportunities for others.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-18;Customer Service Representative;Former Employee;Great;"Excellent opportunities for growth here.
";"There are no cons here.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-18;Unemployed;Former Employee;Great pay and work life balance;"Chevron pays well. Good benefits.
";"It's an oil company. A twilight industry. Overall, employee count is decreasing.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-16;Senior Geologist;Current Employee, more than 5 years;Operations related work;"Great work environment to work in a team
";"When oil prices are low, lots of job instability
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-31;Senior Advisor;Current Employee, more than 10 years;Interesting work, top caliber colleagues;"Great benefits, good compensation, interesting work,
";"Age discrimination related to promotions, too much process
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-31;Senior Counsel;Current Employee;Great Company In Transition;"Very good work; reorganization creates opportunities
";"Heavily Bureaucratic; live and die by oil prices
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-30;Cashier;Former Employee, less than 1 year;Fast Paced;"laid back job but quick paced at times
";"male customers harass underage female workers and management does nothing about.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-29;Administrative Assistant;Former Employee;Ok;"Good benefits and nice work environment
";"Unstable employment and too many layoffs
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-14;Financial Analyst;Former Employee, more than 3 years;Great place to work! Great culture;"Hours, 9/80 schedule, 401k plan, pension plan
";"The ranking system for performance management, they rank you amongst the peers in your pay group
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-27;Quality Assurance Engineer;Former Employee, more than 5 years;Chevron review;"comfortable, low stress, and nice people
";"Leadership does not empower its workers
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-28;Land Representative;Former Employee, more than 5 years;Land Representative;"Benefits, Salary, Difficult to Fail, Rotational Opportunities
";"Hard to Get Title Promotions, Lots of Red Tape
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-28;Geoscience Technician;Former Employee;Company Review;"Company offer good salary to employee
";"Not valuing talented people without big connection in the company
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-28;Customer Service Representative (CSR);Former Employee, more than 1 year;It is a job;"Work is available but often too much and low quality.
";"Not a very good job, last resort kinda deal.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-13;Offshore Structural Engineer;Current Employee;Great Company to Work For;"Loss Stress with Great People
";"Chevron and Industry is moving too slow to adapt to changing markets
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-27;Program Manager;Former Employee;Strong Safety Culture;"Great team members; Strong focus on safety;
";"Huge lay-offs in 2020 and 2021;
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-28;Operations Manager;Former Employee;Gone Full PC;"The benefits were amazing. They sure know how to keep you there.
";"They've gone full SJW PC nonsense. I'm not sure what gendered pronouns or capital letters being offensive has to do with oil and gas. But they seem to think it's important.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-12;Process Engineer;Current Employee;Pretty cool;"the people here are really nice
";"not many cons i can think of
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-12;Land Analyst;Former Employee, more than 3 years;Great Place to Work!;"People, Training, Work Environment, Flexible Work Schedule
";"Red Tape, low-key Corporate Vibe,
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-17;Anonymous;Current Employee;Slow career progression;"No pros really. Hypocrites executives.
";"They always say about diversity. But still, american are promoted quicker than other countries.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-10;Senior Principal Architect;Current Employee;Good company;"Good place to spend career
";"Industry is challenging these days
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-11;Pipeline Controller;Current Employee;Shift work;"The 401k match and pension are great
";"It is a Boys club environment
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-25;Analytical Chemist;Current Employee;Great place to work;"Nothing to say. It's a good place.
";"Benefits are great. Vacation, 401k are competitive.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-10;Facilities Engineer;Current Employee, more than 3 years;Great Work Life Balance;"Flexible working schedule and 9/80s
";"Remote work and office locations
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-24;Assistant Manager;Former Employee;Big job little pay;"Customer service experience, gain good knowledge of the inner workings of running a convenience store
";"No bonus, not run by corporate
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;Principal Data Scientist;Current Employee;Average Pay with Opportunity to Grow and Work/Life Balance;"Work/Like Balance. 9/80 schedule. 4:1 match on 401k up to 2% salary. Big dynamic company with opportunity to grow internally.
";"Below average for starting at a high salary however great in alignment with long horizon career plans/growth.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-01-21;Land Analyst;Former Employee;Review;"Benefits, Compensation, Work Environment, Location
";"Work Culture, Some organizations are bureaucratic
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;IT Manager;Former Employee;One of the Best Company to Retire;"Great culture on how people treat each other with respect and safety.
";"Not applicable at this time.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;Petroleum Engineer;Former Employee;Loved it;"Great place for fresh college hires.
";"You have to live in Bakersfield.
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-19;IT Manager;Former Employee, more than 10 years;Best Company for Work Life Balance;"Great benefits, alternative work schedule (like 9/80), tremendous support for employees, and great people to work with.
";"Hierarchical, slow at making decisions, and reduced job opportunities.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-19;Engineer;Former Employee, more than 8 years;Decent;"Nice people, good work-life balance, good pay
";"Slow to accomplish projects sometimes, constrained career development
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-19;Baskin Robbins Team Member;Current Employee, less than 1 year;About chevron;"- Very good ice cream - fast paced service - good relationship with customers - friendly
";"- not enough pay - no checks approved - low staff
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-17;Cashier;Former Employee;Okay experience;"You mostly work alone on your shifts.
";"A lot of work for one person. Also safety at night when closing alone.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-01;Software Engineer;Current Employee, more than 1 year;Good company;"Good salary, work life balance
";"Techniques need to improve to catch up with high-tech company
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-16;Sales Associate/Cashier;Former Employee, more than 1 year;Great;"If everybody does their part ti can be a nice environment. And you get to meet new people everyday.
";"If people do not do their part the job can seem to hard and annoying.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-16;Manager;Former Employee, more than 3 years;good;"freedom of work, good benefit
";"turnover employees, too much work
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-16;Manager;Current Employee, less than 1 year;Ok company;"Good employees for the most
";"Poor salary for the most
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-15;Data Analyst;Current Employee, more than 3 years;Do more with less;"challenging problems, employee friendly, in-house gym
";"promotions and those in leadership are not usually the best ones for the job
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-31;Maintenance/Reliability Engineer;Former Employee, more than 10 years;Great company to work for;"Many opportunities to advance Competitive salaries Great benefits
";"Inadequate performance ranking system International locations can exhibit exclusive behaviors towards expats Introverts are often left behind
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-31;Lease Operator I;Current Employee, less than 1 year;Great company;"Good energy and positive attitudes
";"A lot of changes in procedures
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-13;Senior Finance Manager;Former Employee, more than 5 years;Life at Chevron;"very great place to work. Nice comps
";"long hours and sometimes bureaucratic
Be the first to find this review helpful
Helpful
Share
Repor"
2021-02-04;Sales;Current Employee;Sales salary;"Hours, people , location, management , perks
";"little pay, no pto, non negotiable hours
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-11;Logistics Manager;Current Employee, more than 10 years;At a fork in the road - to be forked or not;"Clear and frequent Internal Comms Salary Training Good intent
";"Too many ‘initiatives’ not enough achievements Job security (3 large workforce reviews in last six years) America-centric thinking - nice to your face but lots of secret forking going on in the background Good intent - often poorly executed
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-11;Process Engineer;Current Employee;pro con;"ppl are great to work with
";"stressful now and then but yea
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-10;Title Maker;Current Employee;Fine;"Lots of stuff was good
";"Not many things were bad
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-09;Employment Coordinator;Current Employee;Human Resources;"you gain lots of experience
";"too much work for amount of money
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-07;Drilling Engineer;Former Employee, more than 5 years;Well meaning but horrible personnel management;"excellent benefits and pay, reasonable dedication to employee wellness
";"Every headcount reduction (which happens multiple times a year), is horribly managed and creates undue stress on basically the entire corporation. Rarely an opportunity to do what YOU want. Unable to move around within the company much.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-07;Wellsite Supervisor;Former Employee;Proceed with Caution;"Great Benefits, I have no others
";"Poor leadership knowledge of employees, No apperception of hard work, more concerned about being woke than a reputable oil and gas company
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-05;IT Analyst;Former Employee;Great company;"Great compensation and work life balance
";"Some micro managing of employees, some managers should not be in management positions. As I was departing - they finally re-did the employee review process, which was a number based ranking.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-06;Marketing Manager;Former Employee;About what you'd expect;"People know the company by name
";"People don't like the company
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-21;Sales Associate/Cashier;Former Employee, more than 1 year;Great Job;"Healthy work-life balance, meeting nice people, and good management.
";"Not the highest paying company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-02;Head Cashier;Former Employee;Not great at training;"I really loved my customers.
";"Theyre Not great at training
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-02;Drill Site Manager;Former Employee, more than 8 years;Used to be great!;"The only pro now is great work/life balance. We did have great benefits but that changed in 2015.
";"Very low pay for the job. An average DSM makes roughly 120k-150k. Other companies are 200k+. The benefits are now horrible to keep up dividends for shareholders. Old timers said the company was lower paying but had job security compared to other O&G jobs, not anymore. Layoffs every 3-4 years for field staff. The field will have promotion freezes and layoffs but all the office staff sits safely in their positions or even promotions amid field layoffs. Finally they are so woke for diversity and inclusion that they discriminate against white males. The company went from one of the best to work for to one of the worst. Chevron is a typical woke, liberal, California company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-17;Any Position;Former Employee;Great experience for customer service;"- Learned new skills for employment history
";"- Could not continue to a more former title
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-01;Customer Service Representative (CSR);Former Employee, more than 3 years;Best place foe college students;"College reimbursement, flexible schedules and good pay
";"Having to work weekends and late shifts if that’s not for you
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-02;Human Resources Professional;Current Employee, more than 10 years;You must be a favorite;"Salary and benefits Are good.
";"Good old boy network. Does not care about diversity and inclusion. Only move to other positions if you are in a development program or a favorite of managers even if they are lackluster.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-01;Infrastructure Analyst;Current Employee, less than 1 year;Nice spot;"Easy hours Flexible work life balance
";"Very average to below average pay for younger-career employees in the bay area
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-30;Site Reliability Engineer;Current Employee, more than 10 years;SRE-Big Oil pay;"Nice culture, great people, 100% remote IT work-no problem
";"Slow job growth, org restructuring very few years
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-14;Cashier;Former Employee, more than 5 years;I loved it;"Meet new people every day
";"one of the kids got loud
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-15;Toxicologist;Former Employee;Good company to work for;"-Empowers employees & invests in employee personal development -Forward-thinking leadership that keeps employees in mind -Looking at new, innovative, and renewable energy sources for the future
";"Many levels of organization charts that makes it difficult to find expertise in specific fields
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-13;Anonymous;Former Employee;Very fun and easy going job;"Fun, like a family, easy
";"None to think of, it was a great job.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-14;Facilities Manager;Current Employee;Chevron Benefits;"Strong pay and benefits compared to other companies
";"job security: You are always have to risk a layoff every 3-4 years.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-13;Drilling Engineer;Former Employee;..;"great company with good environment
";"none none none none none
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-13;Front End Cashier;Former Employee, more than 3 years;The best place I have ever worked;"Customers and family coworkers are always there for each other
";"Not enough hours and pay
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-13;Sales Associate/Cashier;Current Employee;Chevron;"Fair pay and good hours.
";"Far from where I live
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-27;Senior Human Resources Business Partner;Current Employee, more than 10 years;Great intentions, trips over itself seometimes;"Managers and leadership at Chevron care about their employees and spend the time and money to show it. It's almost painful sometimes and several lifelong Chevron employees don't realize how great they have it. You're also working with a large number of capable people who want to do good work. In my experience, if those that are only a few months away from retirement still put in significant effort. They want the company and the people there to succeed.
";"I don't think this is unique to Chevron, more a consequence of being a large company with long-tenured employees - in many groups voicing disagreement or new ideas has to be done very skillfully or you can come off as 'a jerk' even if it would be considered fairly polite at other companies. It's a very heavy 'nice' culture that can slow things down.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-12;Anonymous;Former Employee;Great opportunity to work here;"- Diversity - Pay - Amount learned
";"- Competing with other interns for returning offer and not individual performance
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-25;Category Manager;Former Employee, more than 8 years;Great company to work for;"Great work life balance; good pay and benefits
";"Very process driven, takes long time to make decisions. Nepotism in career progress. Frequent downsizing.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-10;Engineer;Current Employee, more than 10 years;Great company. always looking to improve;"Run by people who are invested in the company for the long term
";"A progressive company in a archaic and rapidly changing industry is a tough environment
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-09;Financial Auditor;Current Employee;Amazing Company with Great People and Benefits;"Very caring management and team members. Open door policy makes talking to everyone and asking questions very easy.
";"Sometimes finding what your next move is within the company is a little difficult if what you are looking for is very specific.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-14;Anonymous;Former Employee, more than 3 years;Chevron talks a great game, but it’s all talk that leaders don’t follow;"Great salary and benefits including insurance and retirement
";"The “Chevron Way” is a joke! Leaders don’t follow the tenets they put in place for everyone else.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-08;Store Manager;Current Employee;It’s what you make of it!;"You get to help and even get to know some really amazing customers Safe and clean work environment
";"If you do not like dealing with the public, it’s not the best job for you. If you do not know how to talk to various people from all over the world with different personalities, attitudes, accents, etc.. it’s not a job for you either.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-08;Petroleum Engineer;Current Employee;Awesome Environment;"Alot of opportunities for initiating new project and learning new technologies
";"there isnt a specific roadmap for career progression
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-21;Chevron PRC Analyst;Former Employee;N/A;"The work culture is great, dont have any more pros.
";"In the time I have been there its none
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-21;Procurement Manager;Former Employee, more than 10 years;Company;"Good Pay Good Company Great People
";"Location driven, top heavy management, safety driven
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-21;Manager;Current Employee, more than 10 years;World class company, insular culture;"Many growth opportunities for driven professionals; the company's products and services are essential, so your work matters; outstanding reputation, highly respected; excellent compensation and benefits.
";"Very insular culture; extensive passive-aggressive behavior up and down the organization; lots of inertia -- new ideas are generally resisted.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-12;Clerk;Former Employee, less than 1 year;?;"Good pay Graveyard shift you less customers
";"Micro check every tasks you do Can not play scratchers on the clock
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-05;Anonymous;Former Employee, more than 5 years;Great place to work;"Good pay, focus on diversity
";"Large bureaucratic company with decision making by committee
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-04;Financial Analyst;Current Employee;Come here if they want you as a poster child;"Resources Pay Benefits Hours Inner Circle Job Security ( if you’re in the right program)
";"Slow like any large company Cyclicality of O&G
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-03;Senior Communications Manager;Current Employee;Oldie but goodie;"Pay and benefits are decent.
";"Cyclical commodity market employer so susceptible to layoff cycles. Upward mobility limited due to very long-term employees that stay in role for years.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-17;Applications Engineer;Current Employee;Good company;"Good company to work for
";"Complex promotion process, alot of who you know and who knows you
Be the first to find this review helpful
Helpful
Share
Repor"
2021-01-08;Operations Analyst;Former Employee, more than 3 years;Horrible place to work;"Very few advantages of working here
";"Sexist, corrupt, manipulative, dangerous, scary
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-02;Business Development Manager;Former Employee, more than 10 years;great co to work for;"security, ethics, environment, salary, safety culture
";"none that i can think of
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-02;Intern;Former Employee;Oil and Gas Intern;"Fun, Exciting, Thrilling, Thought-provoking, Amazing
";"No cons, wish management paid more
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-16;Automation Manager;Current Employee;Oil;"Money is good, industry is struggling
";"Good old boy system, favoritism rather than merit
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-15;Senior Air Permitting Engineer;Current Employee;“Major” Disappointment;"Benefits and appearance of career opportunities
";"Too political and excessive personal bias Hiring process relies more on who you know and leaves experienced staff stuck in role or forced to leave.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-29;Maintenance Advisor;Current Employee;Wonderful Company.;"Great Benefits, Wonderful company match 401k, High salaries, opportunities to move up and/or try new things.
";"Slow to adapt to some technology but improving. Slow decision processes at times but getting better.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-29;SCM Specialist;Current Employee;Best company;"Care about you, good systems, good pay
";"Big company and can be buerocratic
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-11;Chevron;Current Employee, more than 8 years;"""Woke"" culture destroying morale";"Work life balance is respected and encouraged. Work is interesting and collaboration is generally open.
";"Like many corporations, Chevron is bending the knee to the ""Social Justice"" movement. This means that the workforce is being atomized and pitted against itself. Reference Chevron's press releases from earlier this year crowing about how personnel reductions at upper levels had disproportionately affected white men. This trend can be linked to some large investors very loudly proclaiming a focus on so-called ""ES&G"" metrics. This also brings about an irrational focus on ""going green"". Up until a year or so ago, I was proud to see Chevron was resisting the industry trend of mouthing the ""Carbon is bad"" mantra. This has flipped and quickly in the last year. Terrible for morale
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2020-12-09;IT Risk Manager;Current Employee;Great salaries but near impossible to survive all the layoffs;"Strong salaries, Good benefits, flexible 9/80 work schedule
";"Has layoffs frequently, impacting large numbers of personnel.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-25;Financial Analyst Development Program;Current Employee;Best job if you can stomach the layoffs;"Very high pay and job security for the industry, put on a pedestal. Management track.
";"Assignments can be luck of the draw, oil being a boom and bust industry has you wary.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-25;DSM;Current Employee, more than 10 years;Good company;"Treat you good. Good be if it’s.
";"None. Decent company. They try to do the right thing.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-09;Design Engineer;Former Employee, more than 8 years;Design Engineer;"A lot of project management.
";"You never really design anything as a design engineer. You do not even have any CAD software. It is mostly project management.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-09;Regulatory Affairs;Former Employee;Great company to work for;"Excellent pay and benefits Very nice and smart people to work with
";"Global company where it is most preferred for you to be mobile
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-23;Retired;Former Employee;A good place to work;"Diverse and inclusive workforce, competitive salaries and excellent benefits, domestic and international work opportunities, high end technology applications, primary focus on personal and process safety, along with process efficiency.
";"The petroleum industry is cyclical with global oil and natural gas prices resulting in periodic restructurings and downsizing to remain profitable and competitive.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-23;Business Manager;Current Employee, more than 10 years;Excellent company.;"Great mission, vision, and executive management.
";"Limited locations due to oil & gas industry.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-06;Licensing Administrator;Former Employee;okay;"Good people, good environment, you learn a lot with many people
";"Bad benefits, lots of work and sometimes you can get tired
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-20;Cashier;Former Employee, more than 3 years;Its a great comany;"Friendly, nice hours and bennifits and good management
";"I have no bad comments
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-04;IT Team Lead;Former Employee;Strong company has to adjust for changing economy;"Culture of caring for employees backed up by policies and some very good benefits (pension + 401K match for example) Collaborative people
";"Reorg and adjusting to Scrum Agile will be a challenge Playing catch up in some areas of technology
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-02;Dsr;Former Employee;Review;"Work/life balance Transparency across all levels
";"Leadership speaks on diversity but still technical discipline like Ops and Drilling functions make it hard for diversity (ethnicity) to thrive
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-01;Drilling Engineer;Current Employee, more than 5 years;It is not Exxon;"Good food in cafetería with good prices
";"Singing cunbaya is more important that to do the job
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-01;Funeral Service Assistant;Former Employee;The people are nice;"Management is nice and there are always hours
";"Upper management in corporate do not care for station employees
Be the first to find this review helpful
Helpful
Share
Repor"
2020-12-01;Engineer;Former Employee, more than 10 years;Great, until it isn’t...;"24 years of diverse assignments.
";"Price drops, and so are you.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-17;Design Lead Engineer;Current Employee, more than 10 years;A great Company to work for;"- Good work life balance - Great benefits - Great learning opportunities
";"- Being a big Company, There are lot of processes and procedures which may not be required typically. But management is actively working to address this issue.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-16;Project Engineer;Former Employee, more than 10 years;Great Employer;"Pay, integrity, quality co-workers, adventure and diversity
";"Sometimes slow to make decisions in early phases of projects
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-12;Manager;Current Employee;Great;"Flexible, fast-paced, good working environment
";"Stressful, too many legal responsibilities,
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-13;Planning Analyst;Current Employee, more than 10 years;Chevron oil and gas;"Good benefits, overall strong values
";"Industry downturns, career development depends on the higher ups
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-13;Quality Inspector;Former Employee, more than 10 years;Great Company To work For;"Great Benefits , Good Career Paths , Sky is the limit
";"Midstream Division works a lot of overtime hours
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-24;Production Engineer;Current Employee;Decent place;"Great pay and benefits. Work environment is relaxed and welcoming
";"Corporate beurocracy can be annoying, change resistant, favoritism
1 person found this review helpful
Helpful
Share
Repor"
2020-11-26;Anonymous;Current Employee, more than 8 years;Future is bleak;"Good assignments in past years
";"Future in energy is not in oil
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-26;Occupational Hygiene & Fitness for Duty Advisor;Current Employee, more than 10 years;Good company to work for but lately it seems like they are restructuring every 2 years;"Great company to work for, awesome salary and benefits.
";"I've worked here for almost 12 years and on the last six years I have gone thru four company transformation events which means that you need to reapply and compete for your own job (if it is still there) and a lot of people get fire.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-11;Category Manager;Current Employee;Chevron;"Great company and culture. Very collaborative.
";"Layoffs when oil prices go down. A lot of politics.
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-25;Sales Acct Manager;Current Employee;Good;"stable, benefits, local, management, pay
";"energy field, no growth, static
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-10;Deputy General Manager;Current Employee;Big company, but lots of opportunity;"Many geography regions, empathetic leadership
";"Big company mentality, sometimes rigid
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-18;Petroleum Engineer;Current Employee;good co to works for petrotechs;"flexible culture, smart people, expat assigments
";"o&g is going through changes
Be the first to find this review helpful
Helpful
Share
Repor"
2020-11-18;Store Manager;Former Employee, more than 1 year;over worked under paid;"customers reps paper work sometimes owner
";"low pay over worked and no one helped doing daily chores
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
