date;employee_title;employee_status;review_title;pros;cons
2021-09-07;Production Operator;Former Employee, more than 3 years;Worse company ever;"Pay was okay, but hours were long
";"The people, culture, and atmosphere were atrocious
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-01;Research Petrophysicist;Former Employee, more than 1 year;Great company to work for;"- supportive and nice colleagues - flexible working arrangements - good pay - overall great team that supports each other
";"- the industry was tough in recent years, not a Chevron specific problem, they did better than many
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-30;Software Engineer;Current Employee, less than 1 year;Good place to work;"Employees are very friendly. Culture encourages diversity and inclusion. As company they try to lead the industry with latest technologies
";"Company is too big, will take time to get the promotion. After recent reorg, employees are getting adjusted to the new culture with the org.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-31;Software Release Manager;Former Employee, more than 8 years;DO NOT GIVE A DAMN ABOUT IT'S PEOPLE, LOYALTY IS A ONE WAY STREET;"The only benefit is the $$.
";"Management talks a good game but doesn't lead by example. Non IT management running IT, they are completely out of touch with reality. More concerned with their PMP/Bonuses than with their people.
Verify your email to continue reading or Resend email
1 person found this review helpful
Helpful
Share
Repor"
2021-07-26;Global Technology Manager;Current Employee;Great Company;"Professional environment to work at
";"Heavy work schedule during Turnarounds and start ups
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-09;General Manager;Current Employee, more than 10 years;Opportunities and growth over a rewarding career;"Development and growth opportunities International exposure Many roles within one company Strong relationships Ability to make a difference and do good work
";"Can be bureaucratic and a challenge to keep things simple. Decision making is an area we’ve been working for many years and difficult to get traction at an enterprise level.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-06;Application-Engineer;Current Employee, more than 1 year;Chevron Review;"Flexible work schedule and focused on employee satisfaction. Lots of collaboration between platform resources and people are always willing to help out.
";"Too focused on ""by the book"" evaluation. Does not matter how much value you add if you don't write specific goals and fulfill those goals. Finished your project early but haven't completed trainings? ""Needs improvement"".
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-04;Facilities Engineer;Former Employee, more than 5 years;Good company;"Good pay and benefits. Job can be a lot of responsibility but in general the good company culture helps manage it well.
";"Some teams may not reflect the best of the company.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-05;Anonymous;Former Employee, more than 1 year;It was a good experience good tips and easy work. Get to see alot of different ppl and that's kinda cool.;"Youll receiveTips if your not an A-hole and easy work
";"No real way to move up or make more money aside from tips which for the most part are random
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-20;Software Engineer(Internship);Current Employee, less than 1 year;Software Engineer Internship;"Chevron really cares about a work/ life balance. They put their people first. They make interns feel like full time employees.
";"It's a big company so it is easy to feel lost.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
2021-07-20;Specialist;Current Employee, more than 5 years;Good;"A company that really values work-life balance
";"Takes a while to get anything due to many levels of managment
Be the first to find this review helpful
Helpful
Share
Repor"
2021-08-04;Crude Trading Analyst;Former Employee, more than 10 years;Bureacracy;"Benefits, work/life balance, stability, and culture/values, resume builder. This is specific to the Midstream organization.
";"Lack of diversity and bureaucracy in top ranks, career opportunities only exist for those employees that fit ""the mold"" other than that you have to follow the lead and continue to get passed over. This is specific to the Midstream organization.
Verify your email to continue reading or Resend email
Be the first to find this review helpful
Helpful
Share
Repor"
